Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
881,4,2023,9,20,1,2140,1.0,0,0,1,a,c,956.0,7,2018,62,0,7,2021,117,0
300,1,2024,9,46,12,2552,1.0,1,0,0,a,a,906.0,2,2006,223,1,36,2014,500,0
199,1,2024,8,37,3,513,1.0,0,0,1,c,a,638.0,7,2016,97,1,33,2011,500,1
610,6,2024,5,19,15,969,1.0,0,0,0,a,b,1310.0,8,2022,21,1,18,2011,500,0
709,3,2023,7,47,14,2949,1.0,1,0,1,a,b,1160.0,12,2013,115,1,19,2017,340,0
421,5,2024,2,10,16,2886,1.0,1,0,0,c,a,805.0,3,2020,47,0,28,2017,346,0
68,4,2023,1,9,27,266,1.0,1,0,0,a,c,277.0,2,2006,203,1,23,2017,298,0
1113,1,2023,4,2,7,2187,1.0,0,0,0,a,b,1108.0,4,2019,48,1,44,2015,374,0
907,5,2023,7,5,25,1383,1.0,0,0,1,c,a,675.0,10,2004,225,1,12,2016,357,0
554,1,2023,9,17,22,3008,1.0,0,0,1,a,a,908.0,6,2015,99,1,28,2023,0,1
390,5,2023,3,3,13,2557,1.0,1,0,1,c,b,1059.0,2,2008,181,0,34,2016,333,0
984,5,2024,9,20,14,1588,1.0,0,0,1,a,b,700.0,3,2009,186,1,16,2020,212,0
396,6,2024,4,4,11,3694,1.0,0,b,1,d,a,1204.0,10,2016,90,1,11,2021,149,0
229,3,2023,8,2,18,2016,1.0,0,a,0,a,a,706.0,12,2010,152,1,32,2011,500,1
282,4,2023,2,31,22,1381,1.0,0,0,1,a,a,982.0,2,2019,48,0,21,2013,500,0
621,6,2023,4,29,1,2198,1.0,0,0,0,c,c,1047.0,7,2013,117,0,51,2017,290,0
833,4,2024,3,42,28,3657,1.0,0,0,0,b,a,1094.0,12,2011,147,0,11,2020,239,0
359,7,2024,8,24,4,1575,1.0,0,0,0,a,a,1343.0,1,2006,223,0,30,2022,98,0
216,5,2024,9,45,5,1135,1.0,0,0,0,a,a,573.0,2,2014,127,1,22,2020,231,0
1042,6,2024,1,26,17,2399,1.0,1,0,1,b,a,480.0,6,2005,223,0,18,2023,60,0
108,5,2024,5,15,3,1246,1.0,0,a,0,b,c,724.0,1,2017,88,1,30,2023,37,0
615,2,2023,8,7,21,1250,1.0,0,0,0,a,c,1733.0,7,2011,145,0,41,2023,0,1
199,4,2023,9,26,7,2384,1.0,1,0,1,c,a,1225.0,9,2012,132,1,16,2018,270,0
730,5,2024,10,20,9,490,1.0,0,0,0,a,c,655.0,5,2012,149,1,33,2021,143,0
419,4,2023,10,27,17,3652,1.0,1,0,1,d,a,716.0,12,2000,274,1,44,2023,0,0
85,5,2023,2,51,27,877,1.0,0,0,0,c,b,815.0,11,2018,51,1,51,2013,500,0
187,7,2024,8,3,6,2844,1.0,0,0,1,b,a,902.0,9,2022,23,1,33,2017,334,1
544,6,2024,10,19,24,2077,1.0,0,0,1,c,b,1012.0,7,2017,87,0,9,2018,322,1
162,2,2023,7,8,19,1234,1.0,1,0,0,a,c,1025.0,2,2004,233,1,44,2015,380,0
647,2,2024,11,42,15,455,1.0,0,0,0,a,a,1179.0,3,2014,128,1,52,2019,250,0
893,2,2023,10,28,25,1227,1.0,1,0,1,c,c,1421.0,12,2003,238,1,50,2019,186,1
324,6,2023,12,7,18,1669,1.0,1,0,0,d,a,780.0,7,2015,101,0,37,2021,74,1
1045,4,2023,12,42,23,623,1.0,0,a,1,a,c,756.0,6,2010,162,0,7,2013,500,0
821,5,2024,1,7,17,2767,1.0,0,0,1,c,c,711.0,9,2020,40,1,32,2022,79,0
96,7,2023,5,41,14,2862,1.0,0,0,1,a,a,737.0,3,2013,122,1,10,2023,31,0
521,4,2024,11,52,9,2146,1.0,0,0,1,c,c,931.0,4,2001,283,0,40,2017,376,1
618,5,2023,1,27,8,910,1.0,1,0,0,c,c,1011.0,5,2020,32,1,3,2016,388,1
626,3,2023,1,34,2,2303,1.0,1,c,1,a,c,1338.0,11,2013,110,1,8,2014,494,1
514,6,2023,4,2,9,3144,1.0,0,0,1,a,a,607.0,6,2020,34,1,37,2020,121,0
403,1,2024,5,35,23,2952,1.0,0,0,0,a,a,928.0,1,2001,280,1,14,2017,385,0
635,5,2024,8,8,9,1600,1.0,1,b,1,b,a,568.0,6,2005,230,1,5,2018,315,1
755,6,2023,7,23,13,659,1.0,0,0,1,b,c,941.0,4,2002,255,0,7,2022,68,1
946,6,2024,9,27,11,1957,1.0,0,0,0,c,a,1622.0,6,2006,219,1,16,2019,271,1
116,1,2023,3,40,24,1202,1.0,0,0,0,d,a,779.0,12,2010,147,0,26,2017,326,0
155,6,2023,6,41,17,3132,1.0,1,0,0,a,a,1556.0,4,2015,98,0,38,2012,500,0
565,3,2023,5,49,11,1805,1.0,1,0,0,d,c,569.0,4,2009,169,1,27,2011,500,1
473,4,2023,11,40,27,2838,1.0,0,0,0,a,b,682.0,6,2011,149,1,22,2020,174,1
999,4,2024,11,5,1,1218,1.0,1,0,0,d,a,717.0,1,2016,106,0,47,2016,374,0
640,3,2024,10,36,4,992,1.0,1,0,1,c,c,872.0,3,2009,187,0,41,2010,500,1
263,3,2024,3,9,4,1867,1.0,0,0,0,c,a,774.0,1,2018,74,0,24,2020,193,0
949,7,2024,2,50,3,3035,1.0,1,0,1,c,c,1049.0,11,2002,255,1,52,2020,206,1
969,5,2024,7,46,5,3595,1.0,1,0,1,a,b,50.0,10,2018,69,1,38,2023,60,1
46,7,2023,9,17,20,3510,1.0,1,0,1,c,a,526.0,2,2018,67,1,20,2013,500,1
987,3,2023,10,5,21,634,1.0,1,0,0,a,a,1388.0,5,2013,125,1,22,2015,399,0
406,3,2023,10,48,3,2690,1.0,0,0,1,a,a,398.0,2,2006,212,1,4,2018,304,0
257,4,2023,3,19,1,1319,1.0,0,0,1,a,c,713.0,10,2000,269,1,42,2021,81,1
129,5,2023,5,45,26,1002,1.0,1,0,1,b,a,1004.0,2,2022,15,1,32,2012,500,0
91,1,2023,12,5,23,3495,1.0,1,0,0,c,c,806.0,8,2000,280,1,7,2013,500,1
67,3,2024,9,14,23,513,1.0,1,0,0,b,a,565.0,7,2002,266,0,8,2018,318,0
853,4,2023,12,22,20,2346,1.0,0,0,1,a,c,954.0,10,2004,230,0,6,2015,432,0
1009,1,2024,3,7,12,3161,1.0,1,0,1,a,a,1071.0,11,2004,232,0,9,2023,50,0
1069,5,2023,4,24,10,3885,1.0,1,0,0,c,a,641.0,12,2006,196,1,17,2014,475,0
569,1,2023,8,49,10,1964,1.0,0,a,1,c,c,942.0,4,2004,232,0,40,2010,500,0
286,7,2023,6,10,15,855,1.0,0,0,1,a,a,1078.0,10,2010,152,0,52,2019,166,1
992,4,2024,12,22,2,1875,1.0,1,0,1,a,c,1144.0,3,2020,57,1,22,2020,208,0
1018,2,2024,1,5,27,3071,1.0,1,0,1,c,c,931.0,2,2008,191,1,28,2022,81,1
448,4,2024,8,35,28,2194,1.0,0,0,1,a,a,1333.0,11,2003,249,1,29,2013,500,1
233,3,2024,12,22,2,3388,1.0,0,0,1,d,c,834.0,11,2003,253,1,34,2021,144,0
936,4,2023,7,27,15,2789,1.0,1,0,1,a,a,525.0,9,2019,46,1,36,2023,0,1
401,2,2024,2,27,11,3842,1.0,0,0,0,c,a,754.0,5,2002,261,1,6,2018,333,0
599,3,2024,1,35,11,2572,1.0,0,0,1,a,b,1184.0,5,2021,32,1,30,2013,500,0
988,2,2024,6,39,11,799,1.0,0,0,1,a,a,552.0,10,2000,284,1,21,2017,382,1
186,3,2023,10,51,15,453,1.0,0,0,0,a,c,147.0,3,2000,283,0,43,2019,216,0
340,3,2024,9,38,27,2235,1.0,0,0,1,b,a,958.0,7,2001,278,1,49,2021,145,0
237,6,2024,2,44,21,3810,1.0,1,0,0,c,c,687.0,5,2021,33,1,19,2016,441,0
843,7,2023,8,4,28,1731,1.0,1,0,0,a,a,1494.0,3,2000,281,1,30,2023,0,1
131,7,2023,11,7,8,383,1.0,1,0,0,c,b,900.0,7,2020,40,1,14,2014,461,0
164,3,2023,8,23,24,2502,1.0,0,0,0,a,c,1191.0,9,2000,275,0,3,2020,176,0
369,3,2024,4,8,12,2514,1.0,1,0,1,d,c,673.0,3,2016,97,1,8,2020,208,0
423,2,2024,1,44,11,502,1.0,1,0,1,b,c,998.0,9,2010,160,0,45,2019,259,1
831,4,2024,7,45,2,2613,1.0,1,0,1,a,c,931.0,12,2005,223,0,17,2019,288,1
1049,7,2023,9,32,25,2000,1.0,1,0,1,a,a,1234.0,11,2015,94,1,6,2021,130,1
664,2,2023,11,26,4,816,1.0,0,0,0,a,a,877.0,11,2016,84,0,13,2011,500,1
253,6,2023,9,45,14,310,1.0,0,0,1,c,a,663.0,5,2009,172,1,33,2016,376,0
738,2,2024,6,30,28,2468,1.0,1,0,0,a,a,1132.0,9,2002,261,1,23,2023,59,1
783,3,2023,7,50,19,1375,1.0,1,0,1,b,a,606.0,9,2006,202,1,8,2015,458,1
95,4,2024,3,42,4,1022,1.0,0,0,0,c,b,575.0,12,2000,279,1,25,2011,500,0
1026,6,2023,9,18,26,3321,1.0,0,0,0,d,a,807.0,7,2014,110,0,46,2023,0,1
571,6,2023,8,34,17,1283,1.0,0,0,0,a,c,722.0,11,2008,177,1,24,2020,166,1
876,5,2023,1,7,7,1974,1.0,1,0,0,b,b,825.0,7,2014,102,0,51,2017,268,1
58,5,2023,4,3,8,2408,1.0,0,c,0,a,c,620.0,10,2012,126,0,20,2023,0,0
1058,6,2024,2,5,25,3434,1.0,1,0,0,a,a,1156.0,5,2016,93,1,14,2018,303,0
1085,5,2024,12,52,17,3638,1.0,0,0,0,a,a,1152.0,1,2010,179,1,31,2022,125,1
1053,1,2024,1,7,12,420,1.0,0,0,1,a,b,1069.0,5,2006,212,1,45,2011,500,0
590,1,2023,7,11,9,1331,1.0,0,0,0,a,a,1040.0,5,2014,110,1,43,2016,332,1
127,4,2024,4,36,25,2860,1.0,0,0,1,a,b,266.0,10,2021,30,0,48,2017,352,0
504,1,2023,12,10,10,2792,1.0,1,0,0,c,a,855.0,9,2015,99,0,3,2017,319,1
671,5,2023,3,7,16,427,1.0,0,0,0,c,c,1077.0,8,2003,235,0,40,2015,383,1
501,6,2024,12,37,3,1286,1.0,0,0,0,a,c,1222.0,3,2005,237,1,2,2010,500,0
476,7,2023,3,50,7,790,1.0,0,0,1,a,a,759.0,9,2022,6,0,41,2013,500,1
391,1,2024,1,7,23,879,1.0,1,0,0,a,a,1211.0,9,2016,88,0,14,2021,149,0
762,5,2024,6,35,22,3253,1.0,0,0,1,c,c,912.0,12,2014,114,0,37,2023,50,0
639,7,2024,6,28,28,3991,1.0,0,0,1,b,a,50.0,4,2016,98,0,21,2011,500,0
828,1,2023,8,50,4,274,1.0,0,0,1,a,a,790.0,9,2006,203,1,4,2023,46,0
90,6,2023,7,50,15,3534,1.0,1,0,0,b,b,568.0,1,2021,30,0,36,2023,14,0
274,7,2024,7,30,5,1646,1.0,1,b,1,a,a,636.0,9,2004,238,0,19,2023,63,1
980,1,2023,4,47,21,3360,1.0,0,0,0,a,a,1136.0,10,2021,18,0,9,2013,500,0
892,4,2024,11,11,5,3757,1.0,1,a,1,a,c,909.0,10,2005,229,0,16,2014,500,0
752,1,2024,7,31,4,1953,1.0,0,0,0,c,a,664.0,6,2007,205,0,10,2012,500,0
457,4,2023,5,9,24,789,1.0,1,0,1,c,c,617.0,6,2014,107,0,11,2019,206,1
478,6,2023,1,2,4,858,1.0,0,0,1,a,c,951.0,1,2011,144,0,23,2012,500,1
733,2,2023,5,40,25,3801,1.0,1,0,1,a,a,765.0,6,2022,11,1,24,2014,484,0
861,6,2023,6,30,21,3140,1.0,0,a,1,a,c,1029.0,9,2019,45,1,18,2017,324,0
477,6,2024,1,1,17,943,1.0,0,0,1,b,a,572.0,12,2019,49,1,14,2016,403,0
1001,1,2024,10,42,5,3438,1.0,1,b,1,a,c,706.0,2,2013,140,0,43,2015,467,0
386,4,2024,10,46,8,1225,1.0,0,0,1,c,c,484.0,7,2022,27,1,28,2013,500,0
358,2,2023,3,21,6,481,1.0,1,0,1,c,a,654.0,3,2016,84,1,13,2013,500,0
774,7,2023,8,2,12,2624,1.0,0,0,1,c,a,1473.0,5,2007,195,1,25,2018,237,0
882,5,2023,2,16,6,2291,1.0,0,0,1,a,c,599.0,10,2013,112,1,52,2012,500,1
605,4,2024,2,32,6,224,1.0,0,0,0,b,c,678.0,1,2008,193,0,1,2014,500,0
1062,5,2024,9,3,10,2280,1.0,0,0,0,a,a,573.0,1,2006,224,0,49,2011,500,0
952,2,2023,3,21,1,2894,1.0,0,0,1,a,c,765.0,3,2017,72,1,7,2014,482,0
232,4,2024,12,12,26,1597,1.0,0,0,1,a,a,798.0,4,2009,188,1,14,2014,500,1
877,6,2023,3,32,24,3633,1.0,0,0,0,a,c,1185.0,10,2005,209,0,31,2015,417,0
904,7,2024,8,11,8,1657,1.0,0,0,1,a,b,698.0,4,2019,64,1,12,2013,500,1
969,2,2024,5,41,6,1552,1.0,0,0,1,b,a,854.0,12,2007,197,0,51,2010,500,1
586,7,2024,1,16,25,2800,1.0,0,0,0,c,a,258.0,12,2017,73,0,39,2015,445,1
854,2,2024,1,6,3,2500,1.0,0,0,1,d,c,561.0,10,2006,207,0,30,2022,80,1
808,7,2024,2,15,22,3751,1.0,0,0,1,c,a,1146.0,6,2008,188,0,21,2018,306,1
1023,7,2023,10,50,4,1557,1.0,0,0,1,c,c,563.0,10,2009,168,1,49,2013,500,0
331,6,2024,12,42,3,665,1.0,0,0,1,a,a,1050.0,2,2011,166,1,19,2023,75,1
175,7,2024,4,31,26,2829,1.0,0,0,0,c,a,542.0,11,2017,77,0,52,2018,291,0
855,4,2023,4,11,16,3849,1.0,1,0,0,a,c,768.0,5,2008,179,1,52,2019,167,0
715,6,2024,12,20,11,2202,1.0,0,0,0,b,c,1334.0,6,2000,294,0,36,2010,500,0
1089,7,2024,5,25,2,2422,1.0,0,0,1,a,b,1044.0,11,2003,246,0,37,2013,500,1
92,2,2023,4,51,19,2110,1.0,1,0,1,c,c,234.0,2,2000,278,0,31,2015,436,0
39,5,2023,7,17,16,1574,1.0,0,0,0,b,c,1786.0,2,2020,41,0,50,2019,175,0
558,6,2023,5,43,1,398,1.0,0,0,0,c,c,508.0,8,2000,273,1,31,2010,500,1
678,4,2023,4,15,20,3996,1.0,0,0,1,a,a,1380.0,12,2021,16,0,50,2013,485,1
961,5,2024,12,9,15,2714,1.0,1,a,0,c,c,686.0,11,2014,121,0,11,2023,50,1
746,5,2024,9,41,25,3212,1.0,0,0,0,a,a,451.0,12,2000,285,0,23,2014,500,1
810,4,2023,3,5,21,2122,1.0,1,0,0,a,a,685.0,6,2008,177,0,9,2022,48,1
433,5,2024,8,40,17,1689,1.0,0,0,0,a,b,624.0,8,2017,84,1,1,2012,500,0
650,4,2023,11,48,2,1419,1.0,0,0,0,a,c,656.0,10,2010,157,0,16,2021,136,0
157,4,2024,6,8,6,1043,1.0,1,0,1,c,a,838.0,3,2018,75,1,49,2015,427,0
774,4,2024,2,31,9,2022,1.0,1,0,0,a,a,963.0,11,2010,159,0,18,2012,500,0
157,4,2023,6,9,27,691,1.0,1,0,1,c,a,1246.0,11,2008,175,1,43,2019,174,1
194,3,2023,6,25,10,1455,1.0,1,a,0,d,a,884.0,1,2004,233,1,15,2017,322,0
185,1,2024,3,25,15,3834,1.0,1,0,1,b,a,843.0,6,2015,105,0,36,2011,500,0
1038,4,2023,11,5,25,1230,1.0,0,0,1,c,a,603.0,6,2018,65,0,11,2022,46,0
194,3,2024,1,10,1,1311,1.0,1,0,1,a,a,736.0,10,2015,99,1,26,2020,192,0
237,1,2023,2,29,19,660,1.0,0,b,0,a,a,669.0,6,2004,224,0,40,2015,405,0
1110,4,2023,2,44,25,3616,1.0,0,0,0,a,c,408.0,12,2008,170,1,47,2022,49,1
187,6,2024,1,15,25,1035,1.0,1,0,1,a,a,1585.0,6,2015,103,1,20,2010,500,0
607,2,2023,4,44,15,3251,1.0,1,0,0,a,a,893.0,6,2004,226,0,31,2023,13,0
157,7,2024,3,11,11,692,1.0,1,0,0,b,a,897.0,4,2017,83,1,31,2015,448,0
500,4,2024,10,2,6,1373,1.0,1,0,1,a,b,1185.0,11,2021,35,0,24,2021,134,0
1044,3,2024,4,21,17,238,1.0,1,0,0,d,c,50.0,6,2005,226,1,21,2022,104,0
367,7,2023,3,1,26,2632,1.0,0,0,0,c,c,1492.0,6,2008,177,0,49,2021,56,1
514,7,2024,5,2,15,3003,1.0,1,0,1,c,a,562.0,9,2016,92,0,23,2011,500,1
977,7,2024,2,16,19,3541,1.0,0,0,1,d,b,555.0,10,2017,76,1,39,2015,445,0
595,6,2023,9,32,8,558,1.0,1,0,1,a,c,657.0,9,2004,228,0,23,2011,500,0
1058,5,2023,10,51,21,3368,1.0,0,0,1,d,a,1115.0,2,2011,152,1,28,2013,500,1
423,6,2023,1,33,12,1700,1.0,1,0,0,a,c,1463.0,12,2012,121,1,30,2018,263,1
259,7,2023,8,36,11,600,1.0,1,0,0,a,c,1312.0,10,2019,46,1,11,2019,233,0
