Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
484,2,2024,5,34,5,694,1.0,0,0,1,a,b,497.0,11,2001,270,1,42,2023,44,1
1022,2,2024,3,4,3,1703,1.0,0,0,1,a,a,817.0,6,2000,285,0,42,2017,326,0
650,5,2023,12,32,25,1104,1.0,1,0,0,a,a,297.0,4,2015,104,1,26,2013,500,0
130,2,2024,5,25,24,2169,1.0,0,b,1,a,c,668.0,5,2013,132,0,19,2017,370,1
476,3,2023,7,4,19,2707,1.0,1,0,0,b,c,88.0,10,2015,93,0,11,2020,149,0
964,4,2024,3,21,23,1622,1.0,1,0,0,a,a,255.0,1,2016,98,1,18,2021,159,1
83,1,2023,7,48,25,2198,1.0,1,0,0,a,a,247.0,12,2011,139,0,4,2013,500,0
240,7,2023,10,13,1,1873,1.0,1,0,1,a,c,476.0,4,2005,222,1,21,2016,356,1
561,7,2023,4,21,11,2862,1.0,0,0,0,c,a,113.0,12,2015,88,1,22,2017,311,0
344,3,2024,11,34,21,2626,1.0,0,0,0,b,b,521.0,4,2007,211,0,51,2020,191,0
682,2,2024,6,7,2,3551,1.0,1,0,0,a,a,403.0,5,2011,157,0,24,2019,243,1
988,4,2024,11,11,19,2306,1.0,1,0,1,c,c,347.0,9,2016,98,1,4,2011,500,1
787,7,2023,2,17,18,2571,1.0,0,0,1,c,c,127.0,3,2013,119,1,8,2010,500,0
408,1,2024,8,5,11,1857,1.0,0,0,1,c,a,50.0,7,2021,37,0,20,2017,349,1
914,1,2023,10,25,25,427,1.0,0,0,0,a,a,162.0,5,2015,101,1,16,2021,113,0
19,6,2023,5,23,23,3510,1.0,0,a,0,a,a,522.0,11,2004,222,1,19,2016,368,1
838,5,2023,8,10,20,2117,1.0,0,0,1,c,a,50.0,4,2000,280,1,24,2013,500,1
58,6,2023,7,38,24,1503,1.0,1,0,1,a,a,50.0,1,2017,78,1,51,2022,39,1
204,5,2023,6,30,4,2545,1.0,0,0,0,b,b,209.0,10,2020,32,1,3,2013,500,0
377,3,2023,11,10,25,1219,1.0,0,0,0,d,a,50.0,7,2009,172,1,15,2020,151,0
151,1,2023,2,14,17,3112,1.0,0,0,0,c,a,1258.0,3,2016,83,0,18,2012,500,0
987,4,2023,9,31,3,1492,1.0,1,0,0,a,a,366.0,3,2007,198,0,50,2019,189,1
713,1,2023,1,16,16,3810,1.0,1,0,0,c,c,172.0,2,2002,251,0,34,2016,346,0
99,1,2024,10,5,11,2574,1.0,0,0,0,a,c,634.0,6,2006,220,0,21,2022,88,1
795,5,2023,6,41,17,2167,1.0,1,0,1,d,a,273.0,3,2020,39,0,2,2018,299,0
219,7,2024,2,14,1,232,1.0,0,0,0,a,a,267.0,3,2018,71,0,24,2013,500,1
830,6,2024,3,34,1,3185,1.0,1,0,0,c,a,840.0,3,2015,108,1,45,2017,353,1
1079,4,2024,7,44,21,1583,1.0,0,0,0,a,c,50.0,4,2001,279,0,36,2020,216,1
70,2,2024,8,4,23,432,1.0,0,0,1,b,a,50.0,6,2000,290,0,49,2015,423,1
459,1,2023,10,8,12,367,1.0,0,0,1,a,a,451.0,9,2017,73,1,25,2022,35,0
708,1,2024,11,14,10,1751,1.0,1,0,0,a,c,50.0,10,2000,289,0,15,2021,155,0
974,6,2023,7,35,21,3193,1.0,0,0,0,a,a,50.0,10,2005,213,1,12,2023,23,0
732,6,2023,3,1,9,1770,1.0,0,0,1,d,c,540.0,10,2007,185,0,32,2017,281,0
428,6,2024,4,1,23,1602,1.0,0,0,1,a,c,89.0,7,2007,201,1,44,2016,373,1
56,1,2024,9,43,17,1501,1.0,0,0,0,a,c,403.0,10,2009,179,1,31,2014,500,0
578,2,2023,5,29,2,820,1.0,1,0,1,a,a,216.0,4,2016,85,1,15,2019,222,1
493,4,2023,6,7,20,2034,1.0,1,0,0,c,a,397.0,3,2006,207,1,33,2017,286,0
1056,4,2023,1,13,27,2086,1.0,1,0,0,a,a,263.0,5,2011,140,0,45,2012,500,0
561,1,2023,8,29,22,1371,1.0,1,0,1,d,a,543.0,5,2011,147,0,31,2022,50,1
1067,4,2024,11,12,14,1586,1.0,1,0,1,a,c,577.0,7,2001,280,0,51,2017,325,1
628,5,2023,12,7,18,3059,1.0,0,0,1,a,a,82.0,11,2009,169,1,14,2015,409,1
185,3,2024,9,27,28,3722,1.0,1,0,0,d,a,50.0,7,2018,74,0,28,2016,415,0
93,4,2024,2,5,16,3365,1.0,1,0,0,a,a,250.0,11,2000,279,1,13,2014,500,1
755,7,2023,11,52,4,2742,1.0,0,c,1,a,a,116.0,10,2010,157,1,10,2011,500,0
210,2,2023,6,39,5,583,1.0,1,0,1,c,c,77.0,2,2017,76,1,7,2011,500,1
474,5,2023,2,13,10,2013,1.0,1,a,0,a,a,50.0,12,2009,158,0,9,2022,56,0
771,6,2024,1,50,24,2862,1.0,0,0,1,a,a,168.0,4,2016,93,0,17,2020,241,1
167,7,2023,3,29,13,3880,1.0,0,0,1,a,a,303.0,3,2012,132,0,45,2022,36,1
128,2,2023,1,14,20,2828,1.0,0,0,0,a,c,113.0,1,2015,96,1,11,2019,211,1
29,4,2023,7,20,27,2976,1.0,0,0,0,a,a,275.0,12,2015,91,1,15,2023,5,1
356,4,2023,8,41,19,3532,1.0,1,0,0,c,a,485.0,3,2007,197,0,39,2022,54,1
567,6,2023,2,37,3,939,1.0,0,0,0,a,b,716.0,7,2021,19,0,26,2012,500,0
448,2,2024,9,20,27,3893,1.0,0,0,1,d,a,751.0,4,2013,137,0,35,2017,349,0
105,2,2023,8,49,16,1965,1.0,0,0,0,c,a,95.0,5,2001,267,1,41,2010,500,1
628,2,2024,10,4,13,3680,1.0,0,0,1,c,c,65.0,7,2020,51,1,25,2010,500,1
1047,2,2023,4,22,4,2102,1.0,0,0,1,c,a,50.0,3,2015,97,1,3,2020,175,0
256,6,2024,1,15,13,3426,1.0,0,0,1,d,a,535.0,6,2000,283,1,25,2016,406,1
279,4,2023,3,48,7,3676,1.0,1,0,0,c,a,345.0,8,2003,235,1,23,2013,500,1
53,5,2024,4,10,11,1718,1.0,1,0,1,a,c,716.0,7,2000,285,1,49,2016,377,0
491,4,2023,5,48,18,2314,1.0,0,0,1,c,a,344.0,9,2000,272,0,35,2018,273,1
175,6,2024,6,39,4,1514,1.0,0,c,0,d,a,123.0,12,2018,66,1,33,2021,162,0
810,1,2023,12,46,8,2808,1.0,0,0,0,c,a,275.0,11,2019,49,1,30,2017,328,1
640,2,2024,8,20,16,2159,1.0,0,0,0,b,a,225.0,3,2007,209,1,20,2016,416,0
567,5,2023,8,13,9,821,1.0,0,0,0,d,a,74.0,4,2021,28,0,22,2018,251,0
99,2,2024,11,10,15,2268,1.0,0,0,0,b,a,316.0,1,2000,298,0,13,2011,500,0
421,1,2023,8,37,19,1740,1.0,1,a,1,a,a,50.0,7,2007,193,1,19,2016,382,0
625,6,2024,2,6,8,3516,1.0,0,0,0,a,c,707.0,8,2015,102,0,38,2014,488,1
703,2,2023,10,18,23,888,1.0,0,0,1,c,c,50.0,8,2010,158,0,5,2010,500,1
1083,7,2024,8,23,9,2085,1.0,0,0,1,a,c,651.0,1,2001,283,1,29,2019,254,1
221,3,2024,10,10,1,1908,1.0,1,0,1,a,a,139.0,10,2013,132,1,32,2013,500,0
1001,4,2024,9,24,25,2033,1.0,1,0,1,a,a,50.0,3,2008,198,0,8,2019,276,0
548,6,2024,7,24,7,3506,1.0,1,0,1,a,a,50.0,11,2013,128,0,4,2022,124,0
489,3,2023,1,9,12,2901,1.0,1,a,1,c,a,270.0,4,2011,141,0,23,2010,500,1
