Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
148,5,2024,9,3,28,266,1.0,0,0,0,b,a,729.0,3,2018,78,1,13,2017,354,1
338,3,2024,8,41,6,3733,1.0,0,0,0,a,a,490.0,3,2013,137,0,43,2013,500,1
1078,3,2024,11,15,15,3567,1.0,0,0,1,c,c,740.0,12,2001,275,0,23,2022,96,1
805,2,2024,10,10,1,1996,1.0,1,0,1,a,b,1189.0,3,2006,223,0,21,2018,301,0
101,7,2023,11,10,10,793,1.0,0,0,1,a,a,559.0,5,2000,282,0,17,2015,409,1
480,3,2024,4,37,7,3453,1.0,1,0,1,c,a,782.0,12,2016,88,1,21,2021,172,1
645,4,2024,9,11,22,2474,1.0,0,0,1,d,a,689.0,8,2020,49,1,26,2011,500,0
963,7,2023,11,51,22,271,1.0,0,0,0,a,a,405.0,3,2015,104,0,34,2014,485,0
387,2,2023,1,46,20,263,1.0,0,0,1,d,a,897.0,10,2012,123,0,44,2018,262,0
1055,5,2024,2,50,21,2585,1.0,0,0,1,a,a,801.0,4,2019,58,0,21,2015,497,1
1009,3,2024,3,18,9,3599,1.0,0,0,1,a,a,1498.0,10,2002,257,0,29,2016,405,1
993,2,2024,5,42,2,3926,1.0,1,0,0,a,a,1032.0,3,2010,170,0,40,2020,210,1
378,7,2024,3,46,18,3702,1.0,1,0,1,c,c,1065.0,10,2000,281,0,19,2011,500,1
518,6,2024,1,23,2,709,1.0,0,0,1,a,b,569.0,4,2002,261,1,42,2012,500,1
445,6,2024,8,12,6,759,1.0,0,0,0,a,a,1043.0,1,2019,67,0,16,2011,500,0
985,1,2024,9,3,24,2197,1.0,1,0,1,c,c,986.0,6,2003,255,0,13,2010,500,1
90,5,2024,5,30,20,3414,1.0,1,0,0,d,c,94.0,2,2008,195,0,16,2019,274,1
668,2,2024,12,35,20,581,1.0,1,0,1,a,a,1159.0,4,2018,80,0,42,2011,500,0
22,3,2023,9,34,6,815,1.0,0,0,0,a,c,787.0,10,2008,179,0,36,2011,500,0
206,5,2024,7,1,15,1780,1.0,1,0,0,b,a,550.0,3,2002,268,0,14,2020,195,0
17,2,2023,1,42,18,3966,1.0,0,0,1,d,c,789.0,6,2017,67,0,32,2015,426,0
99,1,2024,6,41,9,2996,1.0,1,0,0,a,a,634.0,11,2012,139,0,28,2020,221,0
1096,6,2023,10,8,27,2164,1.0,1,a,1,a,c,922.0,5,2013,125,1,33,2021,79,0
50,1,2023,7,16,7,3481,1.0,1,0,0,a,a,701.0,5,2009,170,0,43,2011,500,0
1016,3,2023,11,19,20,2361,1.0,0,c,0,d,a,1335.0,4,2022,19,1,16,2011,500,0
47,5,2024,10,46,1,3516,1.0,0,0,1,c,c,1336.0,5,2007,209,1,48,2012,500,1
630,7,2023,12,9,7,2114,1.0,0,0,0,b,c,896.0,8,2007,196,0,46,2012,500,0
911,7,2023,6,16,25,3182,1.0,1,0,1,a,c,991.0,4,2018,62,0,31,2022,37,0
897,2,2024,2,19,22,2918,1.0,1,c,1,b,b,1328.0,8,2009,174,0,43,2019,236,1
148,1,2024,11,32,21,3458,1.0,1,0,0,b,b,722.0,1,2002,274,1,6,2020,234,0
716,7,2024,10,36,8,1000,1.0,1,0,0,a,b,767.0,5,2009,185,1,26,2018,322,0
989,7,2024,4,1,4,1971,1.0,1,0,1,a,c,1002.0,5,2013,131,0,33,2016,384,0
790,2,2024,1,4,14,2204,1.0,0,0,0,d,a,804.0,3,2013,130,1,9,2010,500,1
328,4,2024,4,46,18,3221,1.0,1,0,1,b,a,900.0,8,2008,188,0,36,2017,374,1
557,4,2023,6,25,20,491,1.0,0,0,0,a,a,720.0,10,2022,8,1,8,2012,500,1
1107,6,2023,11,43,3,3204,1.0,0,0,0,a,c,525.0,3,2001,272,1,44,2022,51,1
86,6,2024,5,43,20,1149,1.0,0,a,0,c,b,517.0,5,2014,120,0,46,2017,361,0
489,5,2023,10,30,7,2413,1.0,0,0,0,d,b,1177.0,12,2017,70,0,1,2013,500,1
343,6,2023,8,43,14,546,1.0,0,0,1,c,c,938.0,6,2007,194,0,7,2017,348,0
169,3,2024,1,5,26,298,1.0,0,0,0,c,b,1093.0,12,2008,181,1,28,2013,500,1
491,5,2023,2,34,16,3886,1.0,1,0,0,a,a,550.0,7,2004,223,1,25,2010,500,1
254,1,2024,6,36,20,1241,1.0,1,0,0,a,a,960.0,10,2006,212,0,23,2019,273,1
671,2,2024,5,36,25,807,1.0,0,0,1,c,a,1004.0,5,2004,240,0,40,2020,204,1
239,5,2024,11,43,6,2081,1.0,1,a,0,a,c,627.0,8,2017,87,1,40,2015,471,1
388,1,2023,9,51,27,1667,1.0,0,a,0,a,b,676.0,4,2011,149,1,6,2020,201,1
182,7,2024,6,46,11,2823,1.0,1,0,0,a,c,1260.0,3,2003,255,1,14,2014,500,0
528,1,2024,4,1,13,371,1.0,0,0,1,d,a,760.0,8,2006,212,1,19,2013,500,1
888,3,2024,1,33,23,510,1.0,0,0,0,c,b,1036.0,7,2021,30,1,50,2020,191,0
