Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
509,5,2024,9,48,21,728,,1,0,1,a,a,600.0,7,2001,278,1,28,2023,72,0
502,4,2023,1,13,4,1890,1.0,0,0,1,a,a,512.0,3,2003,238,1,3,2012,500,1
601,1,2023,12,30,3,1266,1.0,0,0,0,c,a,1170.0,10,2013,122,1,3,2010,500,1
296,7,2024,4,16,1,1262,,1,a,0,a,a,1398.0,1,2015,111,0,18,2021,154,1
1056,7,2023,11,39,14,3467,1.0,1,0,0,b,b,629.0,4,2000,283,0,42,2023,0,0
438,6,2024,8,15,20,2483,1.0,0,0,0,b,a,925.0,10,2011,154,0,1,2019,274,1
366,4,2024,11,45,12,2850,1.0,0,0,1,c,c,1003.0,9,2020,50,0,35,2019,270,0
873,2,2023,8,1,26,675,,0,0,1,a,a,877.0,2,2003,246,1,3,2013,500,0
927,6,2024,5,15,14,3382,,0,0,1,a,a,960.0,2,2013,135,1,36,2016,395,1
115,5,2023,4,35,16,717,1.0,1,0,1,a,a,783.0,7,2006,201,0,13,2018,282,1
65,5,2023,6,32,25,2008,1.0,0,0,0,c,a,50.0,1,2002,257,0,45,2021,91,0
558,6,2023,10,38,28,1701,1.0,1,0,0,a,a,795.0,5,2002,257,0,39,2023,0,0
970,3,2024,10,18,13,3548,,1,0,1,a,a,1057.0,10,2015,108,0,10,2013,500,0
791,2,2024,12,24,25,1340,1.0,0,0,0,d,a,977.0,7,2009,185,1,23,2019,261,0
752,3,2024,10,26,21,3764,,0,c,0,d,a,688.0,8,2014,122,1,20,2022,110,1
17,5,2024,6,9,17,1088,1.0,0,0,1,a,b,1127.0,10,2019,56,0,46,2010,500,0
1030,6,2023,10,49,12,692,,1,0,0,a,a,826.0,6,2000,280,0,50,2022,51,0
584,5,2024,5,21,13,1846,1.0,1,0,1,a,a,942.0,11,2020,42,0,5,2021,172,0
862,1,2024,9,29,5,1523,,0,0,0,a,c,641.0,11,2004,238,1,44,2018,297,1
132,6,2023,6,15,18,1399,,0,0,1,a,b,703.0,1,2017,77,1,39,2018,236,0
1094,7,2023,11,31,1,1813,1.0,0,0,0,a,a,902.0,3,2021,32,1,12,2021,123,1
188,2,2023,9,24,17,2051,,0,0,1,c,c,837.0,12,2018,57,0,22,2016,366,0
562,6,2023,8,48,26,2259,1.0,1,0,1,a,b,726.0,2,2018,66,1,37,2012,500,1
214,6,2023,7,29,5,351,1.0,0,0,1,a,c,674.0,9,2022,10,1,23,2015,422,1
584,5,2024,4,8,17,1439,1.0,1,0,1,a,c,128.0,5,2017,83,1,33,2019,235,0
1028,1,2024,5,45,27,2911,1.0,1,0,0,a,a,452.0,1,2015,112,1,26,2023,71,1
56,5,2024,5,13,8,3312,1.0,1,0,1,a,c,781.0,3,2007,206,0,51,2010,500,1
377,3,2024,8,37,20,2369,,0,0,0,d,a,781.0,3,2001,281,0,23,2016,430,0
448,7,2023,8,39,2,3605,,0,0,1,c,c,930.0,3,2008,185,1,12,2017,339,1
942,1,2024,10,5,11,2068,,0,0,1,a,c,1200.0,8,2005,230,0,43,2010,500,0
101,1,2024,7,42,21,431,1.0,0,0,1,c,a,671.0,2,2010,173,0,39,2016,419,1
1096,6,2023,2,14,8,2776,1.0,0,0,0,a,c,449.0,2,2008,180,0,16,2016,362,1
1015,3,2024,11,19,9,2496,1.0,0,0,1,a,c,1265.0,1,2002,274,1,33,2016,402,1
449,3,2024,9,12,21,2632,1.0,1,0,1,d,b,953.0,10,2006,215,0,15,2014,500,0
874,6,2023,2,30,27,2370,1.0,0,0,0,c,a,651.0,8,2019,42,0,11,2013,500,0
1025,3,2023,4,23,13,1165,1.0,1,0,0,a,a,291.0,2,2005,218,0,40,2010,500,0
374,3,2023,9,26,9,3580,1.0,1,0,1,a,a,1534.0,12,2006,201,1,41,2015,401,1
926,3,2023,6,26,19,3225,1.0,0,0,0,c,a,748.0,6,2013,120,0,30,2015,412,1
663,6,2024,10,30,4,2757,1.0,1,0,0,b,a,938.0,5,2014,125,0,21,2021,165,1
578,1,2024,9,25,16,1059,,1,0,1,a,b,538.0,6,2000,291,1,34,2011,500,1
544,4,2023,2,11,17,1482,1.0,0,0,1,a,a,493.0,10,2011,136,0,39,2019,180,0
945,2,2024,3,10,12,2313,1.0,1,0,1,a,a,1194.0,6,2006,213,0,7,2017,367,1
174,1,2023,1,18,28,2252,,0,0,1,a,c,681.0,7,2014,102,1,51,2022,19,0
595,6,2023,9,17,18,2279,1.0,1,b,1,a,a,649.0,3,2008,186,1,21,2013,500,0
918,6,2024,4,5,5,2810,1.0,0,0,0,a,a,833.0,2,2014,122,1,21,2022,88,1
148,7,2023,7,4,8,3770,,1,0,0,c,a,831.0,5,2014,110,0,47,2019,165,0
820,5,2024,3,3,4,1404,1.0,1,0,1,d,b,1137.0,6,2005,225,1,48,2018,267,1
1108,7,2023,2,13,13,1554,1.0,1,0,1,a,b,783.0,9,2002,245,0,33,2013,500,1
155,3,2024,3,20,2,517,1.0,1,0,1,a,c,1000.0,3,2004,240,1,6,2014,500,0
291,2,2023,11,48,8,2510,1.0,0,a,1,b,a,617.0,3,2005,224,0,23,2021,129,0
713,7,2024,12,16,23,2727,1.0,0,0,0,d,a,536.0,11,2006,217,1,28,2022,92,0
903,3,2023,8,12,22,2415,,1,0,0,c,a,540.0,12,2021,20,0,45,2023,0,1
468,3,2023,12,44,4,2292,1.0,1,c,1,c,c,593.0,1,2006,215,1,14,2022,82,1
21,1,2023,2,27,2,469,,1,0,0,c,a,1318.0,7,2005,211,0,33,2012,500,1
301,3,2023,2,27,11,3296,1.0,0,c,0,a,a,654.0,8,2022,6,0,15,2023,12,1
120,3,2024,10,49,6,1012,1.0,0,0,1,d,c,653.0,12,2016,94,1,51,2020,206,0
988,4,2023,10,5,1,509,1.0,0,0,1,c,b,1043.0,4,2006,210,1,13,2018,252,1
505,2,2023,3,26,18,727,1.0,0,0,1,b,a,1031.0,2,2018,61,1,27,2021,103,0
891,1,2024,11,12,13,3691,1.0,1,0,0,a,c,491.0,4,2003,259,0,46,2020,174,0
772,5,2023,6,1,10,2990,1.0,1,0,1,a,a,754.0,4,2016,86,0,7,2017,306,1
960,6,2024,12,48,26,1191,1.0,0,0,1,a,a,71.0,11,2016,97,0,38,2015,478,0
539,6,2024,7,39,16,1333,1.0,1,0,1,b,a,975.0,12,2005,223,1,23,2017,380,0
735,7,2023,9,38,9,2408,1.0,0,0,1,a,a,1022.0,2,2004,235,1,50,2019,196,1
723,4,2023,4,23,4,2595,1.0,0,0,1,c,a,1012.0,9,2002,247,1,33,2012,500,1
404,3,2024,12,3,2,1686,,1,0,0,b,a,1424.0,8,2006,220,0,24,2016,395,1
584,4,2024,9,30,27,1603,1.0,1,0,1,a,b,958.0,9,2021,36,0,52,2020,186,1
843,5,2023,7,3,22,962,1.0,0,0,0,b,a,847.0,8,2010,155,0,18,2014,453,1
429,5,2024,1,13,9,620,1.0,1,0,0,c,c,873.0,2,2004,239,0,16,2013,500,1
1066,6,2023,8,36,11,2422,,1,0,1,a,a,642.0,6,2010,158,1,48,2023,0,0
944,4,2023,1,16,25,2728,1.0,0,0,0,d,c,1446.0,6,2000,271,1,18,2013,500,0
506,2,2024,3,10,20,2357,1.0,0,0,1,b,c,1357.0,3,2003,252,0,20,2020,198,1
41,7,2024,9,3,13,1942,1.0,0,0,1,b,c,654.0,10,2000,287,1,40,2011,500,1
479,2,2023,1,20,8,682,1.0,1,0,1,a,b,473.0,11,2001,254,1,20,2013,500,1
856,1,2023,7,25,21,1950,1.0,1,0,0,c,a,841.0,1,2021,30,0,33,2013,500,1
306,7,2024,5,39,24,914,1.0,0,0,1,a,a,807.0,4,2005,229,0,27,2015,480,0
866,5,2024,12,51,15,3397,1.0,0,0,1,c,c,841.0,4,2019,68,1,32,2019,279,1
963,2,2024,7,2,25,2097,1.0,0,0,1,c,a,881.0,11,2004,236,0,40,2023,14,0
313,2,2023,4,20,18,608,1.0,1,0,0,a,a,302.0,3,2002,253,0,17,2022,55,0
79,3,2024,9,31,14,804,1.0,0,0,1,c,a,750.0,5,2004,244,0,3,2023,80,0
50,4,2024,11,41,5,778,1.0,0,0,0,c,b,862.0,2,2022,33,1,11,2021,186,1
212,2,2023,3,18,25,429,1.0,1,0,0,a,c,514.0,9,2022,6,0,44,2015,390,0
310,3,2024,2,37,5,1978,,0,0,0,a,c,1191.0,6,2005,224,1,4,2022,137,0
933,6,2023,10,52,7,2291,,1,0,0,a,c,645.0,1,2016,93,0,33,2023,19,0
731,5,2024,3,8,4,2146,1.0,1,0,1,a,a,742.0,4,2012,143,0,23,2015,453,1
868,3,2024,7,13,15,750,1.0,0,0,0,a,b,1335.0,5,2020,50,1,20,2019,253,0
981,5,2024,6,43,12,2869,1.0,1,0,1,d,a,325.0,1,2016,101,1,11,2012,500,1
789,4,2023,1,5,19,1819,1.0,0,0,0,a,a,791.0,1,2020,36,0,45,2021,64,1
287,6,2023,8,47,18,2924,,1,0,1,b,a,516.0,6,2011,146,1,41,2014,474,1
138,7,2023,8,45,13,495,1.0,0,0,1,b,c,932.0,5,2001,267,1,50,2022,47,1
29,2,2023,2,50,24,1539,1.0,0,0,1,a,a,958.0,2,2012,132,1,12,2019,246,1
187,7,2024,3,8,19,2467,,1,0,0,b,a,833.0,10,2022,17,0,30,2012,500,1
425,7,2023,6,12,17,1225,,0,0,1,a,a,543.0,6,2019,48,1,11,2017,313,0
181,5,2024,2,1,12,3447,1.0,0,a,0,a,a,545.0,11,2002,255,1,39,2018,274,1
943,6,2023,4,7,10,3469,,1,0,1,c,c,646.0,9,2012,127,0,34,2017,285,0
930,5,2023,10,37,11,557,1.0,0,0,0,c,a,521.0,12,2004,226,0,47,2021,94,1
142,5,2024,3,8,23,618,1.0,1,0,0,c,a,958.0,9,2006,210,0,34,2021,130,0
154,1,2024,2,37,21,3694,1.0,1,0,1,a,a,651.0,9,2013,125,1,50,2018,299,0
40,3,2023,5,43,6,1823,1.0,0,0,0,a,a,864.0,9,2020,32,1,3,2021,144,1
566,7,2024,8,32,6,3041,,0,0,0,c,c,655.0,2,2012,150,0,19,2015,481,0
916,4,2024,1,26,21,2637,1.0,1,0,0,c,c,1191.0,12,2020,37,0,44,2018,294,0
621,4,2023,10,15,23,3433,,1,0,1,c,c,1112.0,12,2020,34,1,21,2014,462,1
914,1,2023,9,30,21,793,,1,0,1,c,a,796.0,3,2003,246,1,9,2018,281,1
624,4,2023,2,45,4,3482,,1,0,1,a,a,961.0,3,2001,263,0,52,2022,45,0
350,1,2023,2,6,20,913,1.0,0,0,0,d,c,1113.0,5,2001,261,0,8,2018,258,0
276,3,2023,11,52,26,1224,1.0,0,0,0,a,a,818.0,12,2017,71,0,14,2019,246,1
1015,3,2023,3,26,7,2338,1.0,0,0,1,a,c,600.0,6,2021,21,0,18,2018,268,1
194,4,2023,7,33,2,381,1.0,1,0,0,a,c,1017.0,6,2013,121,0,23,2013,500,0
475,7,2024,11,11,14,1248,1.0,0,0,1,a,c,780.0,7,2005,232,0,9,2014,500,1
1075,7,2024,10,2,19,3296,,0,0,0,c,c,330.0,7,2011,159,1,20,2023,34,1
577,2,2023,10,25,3,912,1.0,0,0,1,a,b,691.0,11,2018,59,0,34,2020,147,1
593,6,2023,8,28,20,278,1.0,0,0,0,c,a,1175.0,3,2001,269,0,50,2018,238,0
1094,7,2024,2,33,8,2729,1.0,0,0,0,a,c,863.0,9,2020,41,0,13,2022,124,1
1059,5,2024,10,13,10,2897,1.0,1,0,1,c,c,294.0,10,2004,240,1,24,2023,41,1
512,7,2024,8,49,10,2874,1.0,0,0,1,b,a,620.0,7,2014,121,0,1,2012,500,1
501,4,2023,4,18,20,1832,,1,0,1,a,c,691.0,6,2010,154,1,4,2010,500,0
927,6,2023,11,45,4,2506,1.0,0,0,1,a,a,503.0,12,2000,275,1,39,2011,500,0
140,6,2023,1,20,1,2598,1.0,1,a,1,d,a,400.0,2,2004,227,1,25,2023,0,0
395,6,2023,3,33,24,1451,1.0,0,0,1,a,a,213.0,8,2000,271,1,44,2013,500,0
916,4,2024,8,10,23,827,1.0,0,0,1,a,a,776.0,1,2018,79,0,34,2020,184,1
374,4,2023,11,10,7,3200,1.0,0,0,0,c,b,927.0,7,2008,184,1,43,2016,331,1
996,1,2023,1,27,1,3921,1.0,0,0,0,a,a,145.0,3,2009,166,1,43,2018,244,0
156,2,2024,8,6,4,2924,1.0,1,a,0,a,a,1408.0,2,2006,222,0,3,2020,211,0
550,5,2023,11,14,19,3590,,1,0,1,a,a,497.0,1,2006,214,1,19,2018,255,0
857,2,2024,3,19,2,1112,,0,0,1,a,a,923.0,12,2001,267,0,15,2023,56,1
255,1,2023,3,47,27,1369,1.0,0,0,0,a,a,966.0,4,2001,263,1,46,2012,500,0
502,6,2024,8,26,25,2103,,0,0,1,a,a,391.0,9,2001,275,0,51,2014,495,0
959,3,2023,6,3,11,2563,1.0,1,0,0,b,c,741.0,10,2021,20,0,49,2020,110,0
507,6,2024,10,26,12,3243,1.0,0,0,1,a,b,1109.0,1,2014,129,1,38,2020,196,1
24,5,2024,3,16,17,759,1.0,1,0,0,a,a,479.0,6,2011,153,1,37,2011,500,1
662,7,2024,5,35,28,1368,,0,0,0,b,a,1214.0,9,2014,116,0,45,2022,94,1
543,5,2024,1,2,11,230,,0,a,0,a,c,50.0,7,2000,282,1,21,2018,293,0
966,3,2023,5,41,26,1987,,1,0,0,a,a,812.0,3,2015,98,0,17,2010,500,0
771,4,2023,7,48,22,3637,,0,0,0,a,a,982.0,11,2021,20,0,14,2016,398,1
332,2,2024,8,35,21,3082,1.0,1,0,1,d,a,668.0,2,2022,30,0,2,2016,449,0
240,1,2024,2,42,2,534,1.0,1,0,1,a,c,1062.0,12,2012,134,1,26,2021,172,0
1007,4,2023,8,47,4,2029,1.0,1,0,1,a,b,635.0,3,2000,281,1,2,2017,357,0
1024,3,2023,3,28,12,1158,1.0,0,0,1,a,c,839.0,8,2015,91,0,30,2012,500,1
749,3,2024,4,4,16,1155,1.0,1,0,1,a,a,1076.0,3,2009,181,0,46,2010,500,0
399,4,2023,10,2,23,3187,1.0,0,0,0,d,c,432.0,8,2002,254,0,4,2011,500,1
614,2,2023,3,50,15,2685,1.0,0,0,0,a,a,959.0,10,2013,113,1,31,2023,19,1
418,7,2024,5,22,19,361,,0,0,1,c,a,651.0,10,2017,79,1,46,2013,500,0
528,4,2023,12,19,26,2654,1.0,0,0,1,a,a,1014.0,12,2007,192,0,43,2019,184,1
