Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
230,7,2023,7,28,2,441,1.0,0,0,0,a,a,933.0,12,2017,67,0,40,2011,500,0
661,5,2024,2,7,4,2198,1.0,0,0,0,c,a,861.0,11,2009,171,1,17,2016,406,0
370,7,2023,5,2,28,2531,1.0,0,0,0,a,a,1197.0,7,2015,94,1,32,2023,0,0
604,6,2023,9,27,28,2540,1.0,0,0,0,c,a,1152.0,4,2014,113,1,6,2017,333,1
46,6,2023,5,28,11,2435,1.0,0,a,0,c,a,734.0,5,2005,216,1,45,2014,451,0
576,1,2023,11,13,1,2297,1.0,0,0,0,a,a,728.0,10,2013,121,0,25,2022,40,0
185,1,2024,4,46,2,3653,1.0,0,c,1,c,a,954.0,3,2001,277,1,15,2014,500,1
923,6,2023,12,30,10,3172,1.0,0,0,0,b,a,448.0,2,2013,130,1,3,2021,131,1
143,5,2023,8,39,5,2284,1.0,1,0,0,a,a,960.0,3,2009,173,1,40,2023,0,1
334,1,2024,7,20,18,3049,1.0,1,0,1,a,c,831.0,9,2000,286,0,33,2023,39,1
529,7,2023,3,43,9,3904,1.0,0,0,1,a,a,497.0,2,2012,133,1,14,2013,500,1
868,4,2024,7,33,18,2282,1.0,0,0,0,a,b,702.0,7,2013,132,1,32,2023,53,1
715,2,2023,12,45,12,3561,1.0,1,0,0,a,a,971.0,3,2000,285,0,34,2013,500,1
369,7,2024,1,31,9,1439,1.0,0,0,0,d,a,761.0,5,2012,140,1,15,2020,224,1
1079,6,2024,9,25,20,2231,1.0,0,0,1,a,c,910.0,4,2006,221,0,32,2012,500,1
152,5,2023,10,1,4,2171,1.0,0,0,0,a,b,1034.0,8,2021,26,0,44,2014,425,1
1051,7,2024,5,28,12,430,1.0,1,0,1,c,c,1285.0,4,2014,121,0,13,2018,327,0
585,2,2023,3,24,2,1100,1.0,1,0,0,d,c,712.0,6,2011,141,0,36,2016,352,1
475,3,2023,12,48,7,3059,1.0,0,b,0,a,a,784.0,1,2009,179,1,51,2018,257,0
1022,2,2024,5,5,21,3685,1.0,1,0,1,a,a,871.0,8,2004,237,0,21,2021,140,1
981,5,2023,12,48,15,3535,1.0,1,c,1,d,a,1392.0,10,2013,122,1,52,2014,464,0
1094,6,2023,4,14,5,1361,1.0,0,0,0,a,a,1141.0,11,2015,89,0,46,2012,500,1
221,7,2023,4,7,9,206,1.0,0,a,1,a,c,558.0,6,2017,70,0,50,2016,321,1
821,4,2024,5,43,3,2622,1.0,0,0,0,a,a,384.0,11,2021,30,0,28,2021,171,0
606,1,2024,11,51,9,762,1.0,0,a,1,c,c,1206.0,8,2007,207,0,47,2019,264,0
272,7,2023,12,12,7,3474,1.0,0,0,1,a,a,882.0,11,2013,121,1,48,2016,328,1
514,1,2024,3,35,2,2488,1.0,0,0,0,b,a,1253.0,12,2013,123,0,41,2016,410,0
199,1,2023,8,32,1,3222,1.0,1,0,0,b,a,1278.0,1,2019,55,1,19,2020,169,0
419,7,2024,9,23,5,373,1.0,0,0,0,b,c,687.0,6,2022,27,0,2,2021,177,1
992,2,2024,5,2,21,2091,1.0,1,0,0,c,a,805.0,1,2003,256,0,51,2022,55,1
704,3,2023,5,3,4,2863,1.0,0,0,1,a,a,1050.0,9,2015,92,0,15,2014,456,0
168,3,2024,12,51,12,2354,1.0,0,0,0,a,a,583.0,11,2012,145,0,18,2023,85,1
564,3,2023,10,49,11,1239,1.0,1,0,1,a,a,858.0,5,2020,41,1,52,2010,500,1
448,1,2023,4,39,12,3503,1.0,0,0,0,d,c,768.0,10,2004,222,1,29,2021,114,0
509,1,2023,3,17,19,2706,1.0,0,0,1,c,a,688.0,12,2016,75,1,33,2011,500,1
65,3,2023,3,43,13,465,1.0,0,0,1,b,c,1030.0,5,2007,190,1,31,2020,168,0
473,3,2024,4,44,22,527,1.0,0,0,0,a,a,802.0,7,2021,33,0,36,2018,320,0
1050,5,2024,1,44,16,1461,1.0,0,0,0,a,c,585.0,4,2018,69,0,34,2023,62,1
900,4,2023,11,30,19,3119,1.0,0,0,0,a,c,1105.0,1,2014,118,1,17,2016,377,0
576,7,2024,3,49,10,1198,1.0,0,0,1,a,a,1172.0,6,2015,105,0,37,2011,500,1
220,1,2024,9,33,12,445,1.0,0,a,0,a,c,1116.0,2,2022,31,1,36,2023,49,0
835,2,2024,5,49,27,3055,1.0,0,0,0,a,c,657.0,2,2019,63,0,44,2021,161,0
540,3,2024,8,27,10,2302,1.0,1,0,1,a,c,950.0,2,2000,294,1,18,2012,500,0
1012,3,2024,1,44,27,3209,1.0,0,0,0,b,a,869.0,12,2001,265,0,22,2011,500,1
934,3,2024,7,9,15,2272,1.0,0,0,1,a,a,855.0,6,2022,25,0,38,2012,500,0
918,7,2023,2,5,11,3077,1.0,0,0,0,b,a,986.0,9,2016,77,1,12,2016,357,0
322,4,2024,10,6,7,1144,1.0,1,0,0,a,a,1017.0,10,2022,24,0,49,2018,269,1
278,5,2023,10,45,16,2165,1.0,1,0,1,c,c,1297.0,7,2014,111,0,41,2022,56,0
386,1,2023,8,11,11,1806,1.0,0,0,1,d,a,979.0,2,2003,246,0,24,2021,91,1
1096,4,2023,4,30,7,2182,1.0,0,0,0,a,a,943.0,9,2011,139,1,47,2023,0,1
353,2,2023,9,47,12,1447,1.0,0,0,0,a,a,953.0,10,2021,23,0,43,2017,316,0
951,7,2024,10,9,5,218,1.0,0,0,0,a,a,1332.0,7,2012,147,0,8,2017,365,0
482,4,2024,4,36,12,3914,1.0,0,0,1,c,a,421.0,10,2003,246,1,48,2015,456,0
341,5,2023,8,4,4,2583,1.0,0,0,1,a,a,1154.0,10,2016,82,1,37,2015,383,0
715,7,2023,11,33,27,3925,1.0,0,0,0,d,a,998.0,4,2022,19,0,11,2015,438,0
587,3,2024,6,27,4,559,1.0,1,0,1,a,c,845.0,11,2016,91,0,49,2020,186,0
752,1,2024,8,6,17,2359,1.0,1,0,0,a,a,936.0,11,2010,165,0,43,2016,379,0
329,6,2023,5,51,3,2663,1.0,0,0,1,a,c,1258.0,10,2004,223,1,34,2017,329,1
1078,5,2023,7,18,20,1209,1.0,0,0,1,a,a,988.0,2,2013,125,1,35,2023,0,1
72,2,2023,1,28,12,775,1.0,0,0,1,c,a,1003.0,12,2021,13,1,18,2020,166,0
720,3,2024,4,22,23,1389,1.0,1,0,1,c,a,826.0,9,2008,187,1,28,2013,500,0
465,7,2023,12,36,25,1824,1.0,1,0,1,a,c,1095.0,2,2015,106,1,33,2021,107,0
352,6,2023,3,20,27,2751,1.0,0,0,0,a,a,1105.0,11,2021,16,0,33,2011,500,0
645,4,2023,8,36,26,1470,1.0,0,0,0,c,b,234.0,12,2019,44,1,14,2016,386,0
371,4,2023,11,26,21,2045,1.0,1,0,0,a,a,932.0,6,2013,125,1,7,2017,331,0
693,3,2023,10,40,24,1890,1.0,1,0,0,a,c,1594.0,9,2009,169,0,43,2014,465,0
442,7,2023,12,17,15,1865,1.0,0,a,0,a,a,1337.0,3,2021,33,0,45,2018,232,0
662,5,2023,6,45,7,1788,1.0,0,0,0,c,a,1173.0,5,2018,61,1,32,2019,221,0
648,2,2023,10,50,22,3173,1.0,1,0,0,a,c,852.0,12,2004,226,0,17,2021,137,1
677,4,2024,11,9,12,1646,1.0,0,0,0,c,c,1200.0,1,2007,214,1,46,2014,483,1
944,1,2023,4,21,27,2343,1.0,1,0,0,a,a,930.0,11,2010,149,0,18,2021,107,0
377,1,2024,9,52,8,3494,1.0,0,0,0,b,a,334.0,10,2003,251,1,1,2018,363,0
41,3,2024,5,38,6,3492,1.0,1,0,0,a,a,807.0,6,2015,107,0,32,2014,500,1
1006,5,2024,10,50,21,2846,1.0,0,0,1,a,a,397.0,1,2005,237,0,2,2023,100,0
1110,3,2024,1,10,18,1501,1.0,1,0,1,c,c,827.0,7,2005,222,1,9,2019,261,1
739,1,2024,6,9,8,1063,1.0,1,0,0,a,a,1529.0,4,2018,74,0,30,2021,135,0
811,2,2023,2,22,21,2273,1.0,0,0,1,a,a,643.0,9,2016,77,1,50,2018,232,1
68,6,2023,4,29,23,2959,1.0,0,0,1,a,a,1105.0,8,2000,272,1,1,2019,236,0
890,3,2023,1,25,6,3167,1.0,0,0,1,d,b,420.0,1,2001,264,0,15,2023,10,1
910,3,2024,12,44,5,3471,1.0,1,0,0,a,b,903.0,3,2001,285,1,30,2022,118,1
560,4,2023,9,40,28,2352,1.0,0,0,1,a,a,353.0,4,2000,281,0,17,2014,491,0
905,7,2024,4,25,23,997,1.0,1,0,1,c,a,431.0,5,2016,95,0,16,2023,61,1
298,3,2023,8,16,9,867,1.0,0,0,1,a,c,1038.0,12,2000,272,1,33,2023,0,0
112,3,2023,10,38,6,1448,1.0,1,0,1,a,a,780.0,6,2003,244,0,38,2021,104,1
1034,2,2023,7,32,19,3389,1.0,0,0,1,a,c,799.0,8,2015,95,0,22,2014,478,0
696,4,2024,2,20,17,1927,1.0,1,0,1,a,a,825.0,12,2004,230,1,22,2010,500,0
539,7,2023,1,22,14,886,1.0,0,0,0,c,a,186.0,6,2015,91,1,33,2016,353,0
951,4,2024,7,48,16,325,1.0,0,0,0,c,c,692.0,4,2013,135,1,9,2023,91,0
677,2,2023,12,44,3,822,1.0,1,0,0,b,b,819.0,1,2000,287,1,40,2011,500,1
452,5,2023,9,51,9,1852,1.0,1,0,1,a,a,938.0,5,2015,100,1,6,2020,201,0
40,3,2023,12,42,10,2694,1.0,0,0,1,a,a,50.0,10,2009,170,0,10,2016,396,0
895,1,2024,8,52,15,3928,1.0,0,0,0,c,c,1133.0,9,2004,239,1,26,2021,182,0
334,5,2023,4,28,15,1516,1.0,0,0,0,a,a,506.0,7,2013,117,0,39,2010,500,1
871,4,2023,2,48,21,788,1.0,0,0,0,c,c,987.0,7,2018,55,0,45,2021,107,1
305,2,2023,10,9,19,946,1.0,0,0,1,b,c,844.0,10,2006,204,1,14,2016,359,1
648,3,2024,11,7,21,2333,1.0,0,0,1,a,a,1110.0,8,2017,87,1,31,2013,500,0
240,5,2023,6,52,25,3058,1.0,1,0,0,a,c,1289.0,2,2015,100,0,18,2011,500,0
533,4,2024,10,25,1,3212,1.0,0,0,1,b,c,847.0,8,2005,230,0,22,2021,159,0
401,1,2024,1,31,1,2273,1.0,1,0,0,b,c,903.0,4,2013,129,0,39,2015,460,0
1000,5,2024,8,2,8,2466,1.0,0,0,0,a,b,122.0,3,2005,233,1,15,2011,500,0
