Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
289,6,2023,1,24,22,3925,1.0,1,0,0,c,c,1217.0,10,2005,207,1,48,2016,340,1
539,3,2024,6,16,22,686,1.0,1,0,1,a,a,651.0,4,2010,170,0,30,2018,298,1
686,3,2023,2,8,5,3990,1.0,0,0,0,a,a,1170.0,7,2006,199,1,18,2019,198,0
247,4,2024,3,41,14,2994,1.0,1,0,1,a,a,822.0,1,2021,38,0,37,2010,500,1
491,4,2024,10,45,3,3541,1.0,1,0,0,c,c,817.0,4,2003,258,0,35,2020,218,1
924,5,2023,10,37,14,2039,1.0,1,0,0,a,a,1215.0,10,2008,180,0,2,2011,500,1
137,5,2023,8,15,8,1756,1.0,1,0,0,a,b,656.0,7,2021,25,1,42,2015,389,0
475,3,2023,8,43,19,1725,1.0,0,0,1,c,c,1005.0,3,2013,125,0,33,2014,478,0
413,2,2023,2,34,20,2840,1.0,0,0,1,c,a,594.0,9,2013,113,0,28,2013,500,1
113,4,2024,2,38,19,3455,1.0,1,0,0,a,a,1434.0,4,2018,70,0,48,2012,500,1
433,3,2024,11,1,20,2441,1.0,0,0,1,c,c,692.0,4,2019,67,0,18,2014,500,0
223,6,2023,1,43,9,2970,1.0,0,,0,a,a,1201.0,5,2006,200,0,13,2015,446,0
8,7,2024,3,40,16,1128,1.0,1,0,1,a,a,622.0,11,2019,52,0,43,2023,49,0
532,2,2023,8,31,13,1345,1.0,0,0,1,a,a,1074.0,11,2001,261,1,1,2014,498,0
347,3,2023,8,20,7,738,1.0,1,c,0,a,c,1278.0,9,2013,119,1,39,2020,137,0
986,4,2024,1,51,15,2843,1.0,0,0,1,a,b,978.0,12,2004,229,0,49,2018,314,0
28,4,2024,6,12,8,1203,1.0,0,0,1,d,a,978.0,3,2016,99,0,10,2022,106,1
612,3,2023,9,28,26,2069,1.0,1,0,0,d,b,553.0,9,2001,264,0,11,2021,121,0
771,7,2023,11,38,17,1490,1.0,1,0,1,a,a,404.0,11,2004,228,1,39,2019,207,1
208,5,2023,7,7,6,3002,1.0,0,0,0,d,a,890.0,11,2019,44,1,27,2018,240,0
