Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
100,7,2024,8,18,15,3602,1.0,0,0,0,a,a,350.0,8,2017,84,0,39,2019,239,0
863,1,2023,9,12,13,745,1.0,0,0,0,a,c,1276.0,6,2008,183,1,49,2014,431,0
730,3,2024,4,28,3,2950,1.0,0,0,0,a,a,1124.0,2,2014,122,1,41,2013,500,0
490,4,2024,5,35,4,736,1.0,0,0,0,a,a,925.0,5,2012,144,1,23,2019,272,1
483,6,2023,12,14,17,3786,1.0,0,0,1,a,c,870.0,9,2013,123,0,8,2023,6,1
958,1,2024,11,40,16,2587,1.0,0,0,1,c,c,1234.0,4,2016,103,0,3,2023,89,1
96,4,2023,5,34,16,932,1.0,0,0,1,b,c,1183.0,9,2008,176,0,42,2016,356,0
778,2,2023,3,9,5,1312,1.0,1,0,0,a,a,1167.0,2,2011,145,0,16,2021,97,1
225,6,2023,4,49,15,3603,1.0,1,0,1,a,a,957.0,1,2013,123,0,20,2012,500,0
106,5,2024,7,3,2,2649,1.0,0,0,0,c,a,715.0,5,2003,254,1,44,2021,115,0
588,4,2023,7,34,5,1071,1.0,1,a,1,a,a,1050.0,3,2004,232,0,26,2023,8,1
1088,3,2023,3,23,14,3318,1.0,0,0,1,c,a,1065.0,11,2002,244,0,50,2017,285,1
821,2,2023,1,34,18,2929,1.0,1,0,0,a,c,763.0,5,2004,224,0,29,2017,317,1
849,7,2023,6,41,19,492,1.0,0,c,1,d,a,715.0,6,2010,156,0,44,2017,309,1
800,5,2023,10,36,28,1276,1.0,1,0,0,a,a,1160.0,5,2021,29,1,7,2011,500,1
877,3,2024,2,34,24,3409,1.0,0,0,0,a,c,1319.0,4,2021,34,0,21,2022,117,0
573,3,2023,5,44,11,1533,1.0,1,0,1,b,c,595.0,12,2017,65,0,10,2020,190,1
143,6,2023,2,37,22,342,1.0,1,0,1,a,a,741.0,9,2012,125,0,3,2022,86,1
937,6,2024,3,43,3,2494,1.0,1,0,1,c,b,925.0,2,2004,241,1,52,2011,500,0
503,4,2023,8,21,25,3615,1.0,0,0,1,a,a,966.0,3,2008,185,0,27,2021,98,1
558,3,2024,4,11,11,2314,1.0,0,0,0,a,a,663.0,1,2017,87,0,19,2015,460,0
414,5,2023,4,13,22,3907,1.0,0,0,0,a,a,1385.0,4,2020,36,1,20,2021,97,1
204,5,2023,12,32,28,633,1.0,1,0,1,b,b,947.0,8,2022,16,1,13,2023,19,1
1034,5,2023,3,28,20,2736,1.0,0,c,0,c,c,979.0,12,2008,171,0,7,2022,73,1
872,1,2023,3,5,26,2668,1.0,1,0,1,a,c,1348.0,6,2011,141,0,48,2022,9,1
718,4,2023,12,11,1,3940,1.0,0,0,0,c,a,685.0,1,2011,155,1,6,2011,500,0
449,5,2024,7,51,5,2180,1.0,0,0,0,c,a,793.0,1,2001,282,0,21,2014,500,1
918,7,2023,1,38,18,3323,1.0,1,0,0,a,a,444.0,5,2002,248,0,8,2014,498,1
609,4,2024,6,40,16,752,1.0,0,0,0,a,c,768.0,4,2001,278,1,49,2017,355,1
495,3,2024,7,11,4,368,1.0,0,0,1,a,c,373.0,7,2016,96,1,11,2023,52,0
503,4,2023,4,4,21,2922,1.0,1,0,0,a,c,1044.0,2,2005,218,0,21,2019,191,1
254,2,2024,7,16,2,214,1.0,1,0,0,c,a,946.0,3,2016,100,1,40,2017,340,1
103,1,2023,8,45,28,3524,1.0,1,0,1,a,a,737.0,7,2008,181,1,30,2021,119,0
619,5,2023,4,27,5,279,1.0,1,0,1,a,a,790.0,4,2018,60,1,20,2012,500,0
990,7,2023,10,41,13,2816,1.0,1,0,0,c,a,1048.0,5,2002,257,1,30,2019,219,1
72,6,2024,6,26,24,1917,1.0,0,0,0,a,a,479.0,3,2007,207,0,23,2017,367,0
957,5,2024,12,26,15,2652,1.0,1,a,1,c,a,881.0,1,2004,251,0,16,2012,500,0
923,1,2023,2,32,21,2568,1.0,0,0,1,c,a,1030.0,5,2010,153,0,32,2019,208,1
309,7,2024,4,50,20,1888,1.0,0,0,0,a,a,285.0,4,2012,144,0,19,2021,187,0
705,4,2024,9,23,27,2029,1.0,0,0,1,a,c,1025.0,11,2003,250,1,50,2021,129,0
185,3,2023,11,31,13,2112,1.0,0,0,1,a,c,318.0,11,2015,96,1,25,2021,110,0
846,7,2024,3,48,28,2773,1.0,1,0,1,d,c,785.0,6,2022,21,1,40,2021,164,1
782,6,2024,12,20,15,2899,1.0,1,0,1,a,a,471.0,4,2000,296,0,13,2016,423,0
396,6,2024,3,44,26,1908,1.0,1,0,1,c,c,1249.0,6,2001,273,0,34,2010,500,0
76,2,2024,5,28,21,1539,1.0,0,0,1,d,a,473.0,8,2021,33,0,30,2023,50,0
1083,7,2023,4,46,4,361,1.0,0,0,1,a,a,325.0,5,2014,107,1,39,2016,371,0
497,4,2023,6,25,19,3161,1.0,1,0,1,c,a,860.0,10,2021,20,0,25,2018,260,1
996,4,2024,11,33,25,1059,1.0,1,0,0,b,a,696.0,12,2016,95,1,38,2010,500,0
756,6,2023,9,17,4,1849,1.0,0,0,1,a,c,369.0,5,2016,88,1,4,2022,65,1
868,5,2023,10,34,24,3971,1.0,1,0,1,d,c,978.0,2,2003,248,0,36,2022,50,0
848,2,2024,4,17,3,3182,1.0,0,0,0,a,a,223.0,2,2011,158,1,40,2022,81,0
218,3,2023,12,32,25,1514,1.0,1,0,1,c,b,509.0,11,2008,181,1,26,2012,500,0
406,3,2023,6,42,23,2004,1.0,1,b,1,c,a,647.0,5,2019,49,1,2,2021,144,0
521,7,2024,8,23,5,1434,1.0,0,0,1,a,a,1061.0,4,2000,292,0,30,2018,305,0
556,6,2023,9,23,21,2579,1.0,1,0,1,a,b,1209.0,8,2000,277,0,41,2012,500,0
49,3,2023,8,17,4,780,1.0,1,0,0,a,c,1151.0,12,2012,128,0,24,2017,305,1
610,6,2024,8,38,16,3820,1.0,0,c,0,a,c,774.0,6,2022,26,1,5,2016,449,1
173,6,2023,6,31,26,3951,1.0,1,0,0,c,a,92.0,4,2022,14,1,21,2018,270,0
829,3,2023,8,27,6,1334,1.0,0,0,1,a,a,937.0,11,2013,117,0,52,2011,500,0
762,3,2023,11,2,5,1075,1.0,0,0,0,d,a,1261.0,1,2009,178,0,15,2017,299,0
1029,7,2024,5,6,12,2249,1.0,1,0,0,a,a,1190.0,11,2006,210,1,28,2019,238,1
831,4,2023,7,1,11,2657,1.0,1,0,1,a,a,959.0,7,2022,12,1,19,2020,138,0
409,2,2024,3,45,2,2645,1.0,1,0,1,a,a,463.0,1,2004,242,1,38,2020,215,0
1079,6,2023,5,45,13,359,1.0,1,0,0,a,a,662.0,3,2002,254,1,23,2018,282,0
459,5,2023,10,4,8,2901,1.0,1,0,1,b,a,1400.0,9,2011,145,1,20,2019,192,1
364,4,2024,8,3,4,452,1.0,0,0,0,a,b,395.0,10,2009,178,1,31,2011,500,0
1010,6,2024,3,41,8,1499,1.0,0,0,1,b,a,476.0,3,2011,156,1,30,2021,167,1
414,7,2024,7,28,1,2923,1.0,0,0,1,b,a,1103.0,8,2020,47,0,26,2015,470,0
86,3,2023,10,17,26,3570,1.0,0,0,0,a,c,691.0,12,2006,202,0,14,2017,315,0
524,3,2024,2,32,28,2613,1.0,0,0,0,a,c,465.0,9,2020,41,0,6,2017,390,1
888,2,2024,1,13,11,806,1.0,0,0,0,a,a,1278.0,9,2004,232,1,36,2023,29,0
212,5,2023,5,11,25,2784,1.0,1,b,1,a,a,958.0,3,2007,194,0,18,2014,461,1
517,3,2023,8,20,13,340,1.0,1,0,0,c,a,705.0,8,2000,276,1,32,2015,404,0
145,3,2024,4,47,26,1077,1.0,0,0,0,a,c,476.0,9,2015,103,1,20,2020,235,1
766,5,2023,10,40,5,670,1.0,0,0,0,a,a,1434.0,2,2019,56,0,45,2018,255,0
531,3,2024,11,10,8,3942,1.0,0,0,1,a,a,813.0,4,2020,55,0,37,2014,493,1
369,4,2024,7,30,21,1599,1.0,1,c,0,a,c,1239.0,11,2003,248,0,22,2014,500,1
254,4,2023,5,46,7,2321,1.0,0,0,0,d,c,1088.0,12,2017,65,1,18,2021,132,1
630,2,2023,1,50,24,3204,1.0,1,a,0,c,a,664.0,3,2003,238,0,39,2021,115,0
747,1,2023,10,40,12,3884,1.0,0,0,1,c,a,666.0,9,2014,109,0,1,2012,500,0
1049,6,2023,11,7,12,3982,1.0,0,0,0,a,a,1254.0,7,2016,88,0,3,2015,420,1
488,1,2023,6,13,13,823,1.0,0,0,1,a,a,1259.0,8,2003,238,0,5,2020,164,0
180,3,2024,7,12,23,1696,1.0,0,0,0,a,a,257.0,7,2002,264,1,18,2011,500,0
929,5,2023,10,8,1,1739,1.0,1,a,0,c,c,985.0,11,2001,263,1,26,2012,500,1
703,1,2024,9,10,22,3225,1.0,0,0,1,a,c,784.0,6,2016,99,0,16,2012,500,0
781,5,2023,2,17,22,1475,1.0,0,a,0,a,b,510.0,8,2014,102,1,10,2017,319,0
109,6,2023,9,29,23,1078,1.0,0,0,1,b,b,899.0,9,2002,252,1,17,2016,376,1
349,5,2023,12,21,28,3069,1.0,1,0,1,c,a,415.0,7,2011,149,0,26,2014,463,0
857,3,2024,10,22,22,2081,1.0,1,a,1,a,a,680.0,11,2018,71,0,16,2011,500,1
928,1,2023,6,13,15,3040,1.0,1,0,1,a,c,580.0,3,2005,219,1,30,2018,243,1
486,7,2023,7,8,14,1643,1.0,0,0,1,d,a,670.0,12,2013,115,1,20,2021,92,0
898,3,2024,4,52,11,2048,1.0,0,0,0,a,a,799.0,9,2006,211,0,49,2012,500,0
939,6,2024,8,32,24,234,1.0,0,0,0,d,a,515.0,12,2006,212,0,52,2019,240,1
433,2,2023,3,12,11,261,1.0,0,0,1,a,c,1292.0,5,2009,166,1,35,2021,81,0
1002,2,2024,5,43,17,201,1.0,0,0,0,d,a,968.0,6,2008,191,1,29,2017,378,0
322,6,2023,4,44,3,865,1.0,1,0,0,d,a,1358.0,1,2011,147,0,2,2018,302,1
268,7,2023,5,51,9,1520,1.0,0,0,0,a,a,772.0,12,2004,221,0,33,2012,500,1
761,7,2023,5,9,8,391,1.0,1,0,0,c,c,655.0,10,2008,175,1,20,2023,0,0
710,6,2023,1,34,13,810,1.0,1,a,1,a,a,1348.0,4,2014,105,0,16,2023,18,0
156,2,2023,9,51,15,3418,1.0,1,0,0,a,a,647.0,1,2008,188,0,42,2019,217,0
929,7,2024,6,42,21,3447,1.0,1,0,0,a,c,767.0,9,2015,105,1,3,2022,143,1
223,5,2023,12,12,13,1301,1.0,1,0,0,b,b,1036.0,9,2002,255,0,14,2018,258,0
898,2,2024,3,47,5,3796,1.0,0,0,1,a,a,449.0,7,2003,248,1,41,2019,266,1
9,1,2024,9,22,16,648,1.0,1,0,0,a,a,1033.0,2,2019,67,1,49,2021,129,0
889,7,2024,3,26,2,319,1.0,1,0,1,d,c,995.0,12,2010,159,0,27,2010,500,0
878,2,2024,7,30,24,1545,1.0,1,0,0,c,a,1201.0,6,2014,121,0,28,2013,500,1
871,6,2024,6,41,22,1205,1.0,0,0,0,a,c,1087.0,9,2017,81,1,51,2012,500,1
742,1,2024,6,7,7,493,1.0,0,c,0,a,c,1210.0,11,2003,247,0,5,2018,314,1
526,2,2023,8,29,8,3420,1.0,1,0,0,a,c,787.0,7,2022,13,1,26,2013,500,1
787,2,2023,10,43,1,3919,1.0,1,0,0,a,a,561.0,2,2009,176,0,13,2015,446,0
309,2,2024,4,29,11,1227,1.0,0,0,0,d,a,1453.0,11,2020,41,1,25,2016,420,0
871,5,2024,11,15,2,1397,1.0,0,b,1,d,a,362.0,9,2009,182,0,48,2020,175,0
