Store,DayOfWeek,year,month,week,day,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,competition_open,Promo2,Promo2SinceWeek,Promo2SinceYear,promo_2_open,IsPromo2Month
527,6,2024,1,46,6,1756,1.0,1,0,1,a,a,1024.0,12,2019,49,0,24,2017,386,0
396,6,2024,9,51,14,585,1.0,1,0,1,a,b,727.0,9,2013,132,1,17,2013,500,0
186,7,2023,8,27,1,2836,1.0,1,0,0,b,a,788.0,2,2008,186,1,35,2016,356,0
978,5,2024,10,6,25,3704,1.0,0,0,0,c,a,609.0,8,2014,122,1,2,2013,500,1
463,4,2024,2,33,14,3529,1.0,1,c,1,a,c,915.0,5,2012,141,0,21,2017,376,0
728,4,2023,8,45,21,2660,1.0,1,0,1,c,c,1069.0,2,2008,186,1,44,2011,500,1
771,5,2024,5,51,25,2966,1.0,0,b,1,d,a,879.0,9,2001,272,0,13,2012,500,0
357,3,2023,3,30,1,3591,1.0,1,0,1,a,c,1138.0,4,2016,83,0,45,2023,0,0
389,6,2023,3,50,13,1032,1.0,1,0,1,b,a,1019.0,10,2007,185,1,9,2014,500,0
1082,4,2023,4,44,19,3117,1.0,1,0,0,a,a,505.0,7,2005,213,0,38,2019,214,1
920,2,2023,9,9,28,593,1.0,1,0,1,c,a,777.0,6,2008,183,0,15,2010,500,1
559,6,2024,1,33,23,3141,1.0,1,0,0,c,c,685.0,3,2000,286,1,19,2011,500,1
595,3,2024,12,35,7,1032,1.0,1,0,0,a,c,1046.0,4,2009,188,0,28,2021,163,0
10,1,2024,12,40,8,2441,1.0,1,c,0,c,b,958.0,5,2019,67,1,37,2015,471,0
228,4,2024,12,28,23,208,1.0,1,0,0,a,a,858.0,9,2016,99,1,28,2014,500,1
7,4,2023,11,39,19,223,1.0,1,0,1,c,a,1124.0,5,2001,270,0,30,2012,500,1
